Degree,Major,Specialization,CGPA,Skills,Certification,Years of Experience,Preferred Industry,Job Role
M.Tech,Computer Science,Frontend Development,8.7,"HTML, CSS, JavaScript",HackerRank SQL,3,Product-based,Web Developer
B.E,Computer Science,Full Stack Development,9.99,"HTML, CSS, JavaScript",Google Cloud Basics,1.5,Software Development,Web Developer
B.E,Computer Science,Frontend Development,7.55,"HTML, CSS, JavaScript",Google Cloud Basics,2,Tech Consulting,Web Developer
M.Tech,AI & ML,Full Stack Development,7.26,"React, Node.js, MongoDB",NPTEL Python,1,Software Development,Web Developer
MCA,Computer Science,React Development,9.37,"React, Node.js, MongoDB",NPTEL Python,2,Tech Consulting,Web Developer
M.Tech,Computer Science,React Development,7.87,"React, Node.js, MongoDB",Coursera Web Dev,0,IT Services,Web Developer
B.E,AI & ML,React Development,7.23,"React, Node.js, MongoDB",HackerRank SQL,3,Tech Consulting,Web Developer
B.E,Computer Science,UI/UX,9.98,"Vue.js, Express.js, HTML",Coursera Web Dev,0.5,Startups,Web Developer
B.E,Software Engineering,Web Technologies,7.73,"Bootstrap, PHP, MySQL",Google Cloud Basics,0,Startups,Web Developer
B.E,AI & ML,Frontend Development,9.2,"React, Node.js, MongoDB",Coursera Web Dev,0,IT Services,Web Developer
M.Tech,Computer Science,React Development,6.06,"HTML, CSS, JavaScript",HackerRank SQL,1,Startups,Web Developer
B.Tech,Software Engineering,React Development,7.09,"Vue.js, Express.js, HTML",HackerRank SQL,1,Product-based,Web Developer
M.Tech,Information Technology,Full Stack Development,9.49,"HTML, CSS, JavaScript",Coursera Web Dev,2.5,Tech Consulting,Web Developer
B.Tech,Computer Science,Web Technologies,9.51,"Bootstrap, PHP, MySQL",Udemy Java,2.5,Tech Consulting,Web Developer
B.Tech,AI & ML,Frontend Development,9.5,"Bootstrap, PHP, MySQL",NPTEL Python,1.5,IT Services,Web Developer
B.Tech,Information Technology,Full Stack Development,9.98,"HTML, CSS, JavaScript",Infosys Springboard,0,Product-based,Web Developer
MCA,Software Engineering,Web Technologies,8.14,"Bootstrap, PHP, MySQL",NPTEL Python,2.5,Product-based,Web Developer
B.Tech,Software Engineering,Frontend Development,8.22,"HTML, CSS, JavaScript",HackerRank SQL,2,Startups,Web Developer
B.E,Computer Science,Frontend Development,9.01,"React, Node.js, MongoDB",Google Cloud Basics,1.5,Tech Consulting,Web Developer
M.Tech,Computer Science,React Development,7.06,"React, Node.js, MongoDB",HackerRank SQL,1,Tech Consulting,Web Developer
M.Tech,AI & ML,Full Stack Development,6.91,"Bootstrap, PHP, MySQL",Udemy Java,1,Software Development,Web Developer
B.E,Information Technology,React Development,9.34,"React, Node.js, MongoDB",HackerRank SQL,0,Startups,Web Developer
M.Tech,Information Technology,Full Stack Development,7.12,"React, Node.js, MongoDB",HackerRank SQL,1.5,Tech Consulting,Web Developer
M.Tech,Information Technology,Full Stack Development,9.07,"Bootstrap, PHP, MySQL",NPTEL Python,2.5,Startups,Web Developer
M.Tech,Information Technology,Full Stack Development,7.15,"React, Node.js, MongoDB",HackerRank SQL,1.5,IT Services,Web Developer
B.E,Software Engineering,React Development,7.11,"React, Node.js, MongoDB",NPTEL Python,2.5,Product-based,Web Developer
B.Tech,AI & ML,UI/UX,7.96,"HTML, CSS, JavaScript",Infosys Springboard,2,Software Development,Web Developer
B.E,Software Engineering,Frontend Development,8.59,"Vue.js, Express.js, HTML",Infosys Springboard,3,Tech Consulting,Web Developer
MCA,Software Engineering,React Development,7,"HTML, CSS, JavaScript",Google Cloud Basics,1,Startups,Web Developer
B.E,Information Technology,React Development,6.71,"Bootstrap, PHP, MySQL",HackerRank SQL,3,Product-based,Web Developer
MCA,AI & ML,React Development,9.19,"Vue.js, Express.js, HTML",HackerRank SQL,2.5,IT Services,Web Developer
B.E,Computer Science,React Development,7.36,"React, Node.js, MongoDB",Coursera Web Dev,1,Software Development,Web Developer
M.Tech,Information Technology,Web Technologies,7.54,"Vue.js, Express.js, HTML",Infosys Springboard,1.5,IT Services,Web Developer
MCA,Software Engineering,React Development,6.62,"HTML, CSS, JavaScript",Google Cloud Basics,1.5,Tech Consulting,Web Developer
M.Tech,AI & ML,UI/UX,8.01,"Vue.js, Express.js, HTML",HackerRank SQL,0,Software Development,Web Developer
B.Tech,Information Technology,Full Stack Development,6.75,"Vue.js, Express.js, HTML",Coursera Web Dev,2.5,IT Services,Web Developer
B.E,Information Technology,Frontend Development,9.27,"Bootstrap, PHP, MySQL",Coursera Web Dev,2.5,IT Services,Web Developer
MCA,AI & ML,Frontend Development,8.86,"Bootstrap, PHP, MySQL",NPTEL Python,0,Startups,Web Developer
B.Tech,Computer Science,Web Technologies,7.45,"React, Node.js, MongoDB",Infosys Springboard,3,IT Services,Web Developer
MCA,Information Technology,Full Stack Development,7.66,"HTML, CSS, JavaScript",NPTEL Python,0.5,Software Development,Web Developer
B.E,Software Engineering,Web Technologies,8.07,"React, Node.js, MongoDB",Udemy Java,3,IT Services,Web Developer
B.E,AI & ML,React Development,7.13,"Bootstrap, PHP, MySQL",Udemy Java,1.5,Product-based,Web Developer
MCA,Computer Science,UI/UX,7.81,"Vue.js, Express.js, HTML",Udemy Java,2,Startups,Web Developer
B.E,Software Engineering,Frontend Development,6.54,"Vue.js, Express.js, HTML",Google Cloud Basics,0,Startups,Web Developer
B.E,Software Engineering,Frontend Development,6.58,"React, Node.js, MongoDB",HackerRank SQL,0,Startups,Web Developer
M.Tech,Information Technology,UI/UX,8.41,"Bootstrap, PHP, MySQL",Infosys Springboard,3,Startups,Web Developer
MCA,AI & ML,React Development,7.63,"HTML, CSS, JavaScript",Udemy Java,1,Product-based,Web Developer
B.E,AI & ML,UI/UX,8.89,"HTML, CSS, JavaScript",Coursera Web Dev,3,Tech Consulting,Web Developer
B.Tech,Information Technology,React Development,7.31,"HTML, CSS, JavaScript",HackerRank SQL,0.5,Startups,Web Developer
M.Tech,Software Engineering,Full Stack Development,9.42,"React, Node.js, MongoDB",Infosys Springboard,0.5,Product-based,Web Developer
